id	token
0	PAD
1	UNK
2	犯罪
3	中止
4	可以
5	发生
6	在
7	:
8	的
9	预备
10	阶段
11	实行
12	犯罪行为
13	尚未
14	完毕
15	情况
16	下
17	已经
18	下列
19	哪些
20	行为
21	不
22	属于
23	为
24	境外
25	窃取
26	、
27	刺探
28	收买
29	非法
30	提供
31	国家
32	秘密
33	罪
34	?
35	行为人
36	知道
37	或者
38	应当
39	标明
40	密级
41	事项
42	，
43	而
44	没有
45	关系
46	安全
47	和
48	利益
49	通过
50	互联网
51	将
52	情报
53	发送给
54	机构
55	组织
56	个人
57	予以
58	发布
59	情节严重
60	关于
61	赠与
62	合同
63	说法
64	正确
65	是
66	单务
67	法律
68	双务
69	实践
70	要式
71	公民
72	基本权利
73	也
74	称
75	宪法
76	权利
77	。
78	选项
79	人权
80	来源
81	化
82	具体表现
83	主体
84	主要
85	我国
86	法人
87	作为
88	行使
89	自由
90	时候
91	不得
92	损害
93	社会
94	集体
95	其他
96	合法
97	义务
98	平等性
99	重要
100	特点
101	对
102	提起
103	行政复议
104	政府
105	采购
106	签订
107	公安局
108	作出
109	行政
110	调解
111	大学
112	拒绝
113	发放
114	学位证书
115	注册
116	会计师
117	协会
118	执业
119	证照
120	不予
121	年检
122	以下
123	环境保护
124	法
125	民事责任
126	环境
127	侵权
128	责任
129	适用
130	民事
131	过错
132	原则
133	赔偿
134	金额
135	纠纷
136	根据
137	当事人
138	请求
139	由
140	主管部门
141	处理
142	由于
143	不可
144	抗拒
145	自然灾害
146	免予
147	承担责任
148	因
149	环境污染
150	损害赔偿
151	诉讼
152	时效
153	期间
154	四年
155	从
156	受到
157	污染
158	时起
159	计算
160	《
161	商标法
162	》
163	第三十九条
164	规定
165	“
166	转让
167	注册商标
168	人
169	受让人
170	协议
171	并
172	共同
173	向
174	商标局
175	提出申请
176	保证
177	使用
178	该
179	商品质量
180	”
181	表述
182	上
183	看
184	法律条文
185	省略
186	了
187	假定
188	条件
189	模式
190	后果
191	或
192	民事纠纷
193	仲裁
194	不服
195	不能
196	申请
197	但
198	哪
199	种
200	除外
201	继承权
202	干涉
203	婚姻
204	自主权
205	房屋买卖
206	机关
207	土地
208	矿产
209	森林
210	等
211	资源
212	所有权
213	使用权
214	归属
215	决定
216	有关
217	中国
218	贸易
219	救济
220	措施
221	反倾销税
222	征收
223	期限
224	价格
225	承诺
226	履行
227	超过
228	6
229	年
230	但是
231	经
232	复审
233	确定
234	终止
235	反倾销
236	有
237	可能
238	导致
239	继续
240	再度
241	适当
242	延长
243	反补贴
244	条例
245	出口国
246	出口
247	经营者
248	都
249	做出
250	分别
251	取消
252	限制
253	补贴
254	修改
255	保障
256	实施
257	4
258	符合
259	最长
260	8
261	要求
262	产业
263	程度
264	重于
265	即
266	实质
267	不是
268	严重
269	1919
270	魏玛
271	第一部
272	现代
273	1830
274	法国
275	钦定
276	英国
277	世界
278	制定
279	最多
280	1787
281	美国
282	首部
283	成文宪法
284	法定代表
285	问题
286	既
287	代表人
288	一种
289	职务
290	只能
291	单位
292	正职
293	负责人
294	代表权
295	源于
296	章程
297	授权
298	刑事诉讼
299	构造
300	哪一
301	价值观
302	混合式
303	主义
304	吸收
305	职权
306	因素
307	形成
308	于
309	实体
310	真实
311	目的
312	与
313	控制
314	矛盾
315	著作权法
316	第
317	2
318	条
319	款
320	外国人
321	作品
322	首先
323	境内
324	发表
325	依照
326	本法
327	享有
328	著作权
329	保护
330	陈述
331	中
332	哪个
333	其
334	保护期
335	自
336	创作
337	完成
338	之日起
339	出版
340	后
341	三十天
342	内在
343	视为
344	同时
345	此处
346	用
347	任何
348	形式
349	如
350	复制
351	展览
352	嫌疑人
353	被告人
354	可
355	分为
356	防御性
357	性
358	侦查
359	讯问
360	时
361	申辩
362	自己
363	无罪
364	办案
365	人员
366	人身
367	侮辱
368	提出
369	控告
370	应
371	退还
372	取保候审
373	保证金
374	申诉
375	认为
376	一审判决
377	量刑
378	畸重
379	上诉
380	国际
381	避税
382	居民
383	纳税人
384	只
385	申报
386	国内
387	所得
388	纳税
389	跨国
390	移动
391	避免
392	成力
393	一个
394	联属
395	企业
396	转移
397	定价
398	使
399	利润
400	税率
401	高
402	到
403	低
404	以
405	减少
406	税负
407	虚构
408	成本
409	费用
410	扣除
411	项目
412	承揽人
413	承揽
414	一项
415	构成
416	违约
417	发
418	作
419	图纸
420	不合理
421	立即
422	停止
423	工作
424	通知
425	定作
426	等待
427	答复
428	未能
429	如期完成
430	发现
431	材料
432	合格
433	遂
434	自行
435	更换
436	确认
437	未
438	征得
439	同意
440	辅助
441	交由
442	第三
443	因定
444	作人
445	按期
446	支付
447	报酬
448	交付
449	成果
450	刑事
451	起诉
452	制度
453	错误
454	犯罪事实
455	人民检察院
456	这一
457	体现
458	法定
459	对于
460	情节
461	轻微
462	刑法
463	需要
464	判处刑罚
465	免除
466	刑罚
467	便宜
468	采行
469	公诉
470	独占
471	兼
472	自诉
473	之下
474	所有
475	刑事案件
476	白诉
477	清末
478	法典
479	何者
480	刑法典
481	修订
482	大清
483	律例
484	新
485	刑律
486	结构
487	分
488	总则
489	分则
490	两篇
491	附
492	暂行
493	前
494	过渡性
495	现行
496	历史
497	近代
498	意义
499	专门
500	2006
501	国际商会
502	巴黎
503	会议
504	跟单
505	信用证
506	统一
507	惯例
508	(
509	UCP600
510	)
511	2007
512	7
513	月
514	1
515	日
516	内容
517	直接
518	撤销
519	议付
520	定义明确
521	票据
522	及
523	单据
524	售出
525	当
526	开证
527	行
528	单证
529	不符
530	自行决定
531	联系
532	申请人
533	放弃
534	点
535	银行
536	收到
537	时间
538	""""
539	合理
540	收单
541	翌日
542	起
543	5
544	个
545	工作日
546	1980
547	联合国
548	国际货物
549	销售
550	公约
551	一方
552	履行合同
553	根本
554	守约方
555	实际
556	原
557	合同价
558	转卖
559	之间
560	价差
561	市价
562	以及
563	对方
564	造成
565	损失
566	获得
567	违约方
568	订立
569	他
570	当时
571	已
572	理应
573	事实
574	违反
575	预料到
576	有权
577	遭受
578	缔约
579	资本主义
580	自由竞争
581	发展
582	垄断
583	出现
584	不少
585	调整
586	经济
587	立法
588	公共事务
589	比如
590	产品
591	责任法
592	反
593	正当竞争
594	等等
595	大量
596	委托
597	德国
598	相继
599	针对
600	现象
601	法是
602	产物
603	最终
604	一定
605	物质
606	生活
607	随着
608	现代化
609	两
610	大法
611	系在
612	相互
613	学习
614	逐步
615	靠拢
616	融合
617	趋势
618	差别
619	明显
620	突破
621	社会主义
622	普通法
623	系
624	大陆法系
625	藩篱
626	技术
627	层面
628	实现
629	移植
630	过程
631	借鉴
632	先进
633	管理
634	经验
635	这些
636	能否
637	传统
638	融洽
639	结合
640	成功
641	关键
642	撤诉
643	反诉
644	本诉
645	被告
646	是否
647	批准
648	法院
649	裁定
650	案件
651	受理
652	判决
653	宣告
654	原告
655	预交
656	受理费
657	仍
658	按
659	自动
660	华
661	收养
662	子女
663	应经
664	所在国
665	主管机关
666	该国
667	审查
668	外国
669	收养人
670	出具
671	年龄
672	职业
673	财产
674	健康
675	有无
676	受过
677	处罚
678	状况
679	证明
680	前项
681	须
682	经该
683	外交
684	认证
685	驻该
686	使馆
687	依据
688	选举法
689	省
690	直辖市
691	设区
692	市
693	人民代表大会
694	代表
695	受
696	谁
697	监督
698	选民
699	选举
700	上级
701	人大常委会
702	普通
703	不同
704	效力
705	民法
706	组成部分
707	体系
708	地位
709	相等
710	按照
711	规则
712	分类
713	21
714	；
715	为了
716	公共利益
717	本人
718	他人
719	免受
720	正在
721	危险
722	不得已
723	采取
724	紧急
725	避险
726	不负
727	刑事责任
728	此
729	40
730	中华人民共和国
731	通信
